Num_Features,k,F1_Validation
60,3,0.19843808758070466
60,5,0.19843808758070466
60,7,0.19843808758070466
60,9,0.19843808758070466
60,11,0.19843808758070466
60,13,0.19843808758070466
60,15,0.19843808758070466
61,1,0.19843808758070466
61,3,0.19843808758070466
61,5,0.19843808758070466
61,7,0.19843808758070466
61,9,0.19843808758070466
61,11,0.19843808758070466
61,13,0.19843808758070466
61,15,0.19843808758070466
62,1,0.19843808758070466
62,3,0.19843808758070466
62,5,0.19843808758070466
62,7,0.19843808758070466
62,9,0.19843808758070466
62,11,0.19843808758070466
62,13,0.19843808758070466
62,15,0.19843808758070466
63,1,0.19843808758070466
63,3,0.19843808758070466
63,5,0.19843808758070466
63,7,0.19843808758070466
63,9,0.19843808758070466
63,11,0.19843808758070466
63,13,0.19843808758070466
63,15,0.19843808758070466
64,1,0.19843808758070466
64,3,0.19843808758070466
64,5,0.19843808758070466
64,7,0.19843808758070466
64,9,0.19843808758070466
64,11,0.19843808758070466
64,13,0.19843808758070466
64,15,0.19843808758070466
65,1,0.19843808758070466
65,3,0.19843808758070466
65,5,0.19843808758070466
65,7,0.19843808758070466
65,9,0.19843808758070466
65,11,0.19843808758070466
65,13,0.19843808758070466
65,15,0.19843808758070466
66,1,0.19843808758070466
66,3,0.19843808758070466
66,5,0.19843808758070466
66,7,0.19843808758070466
66,9,0.19843808758070466
66,11,0.19843808758070466
66,13,0.19843808758070466
66,15,0.19843808758070466
67,1,0.050413022351797857
67,3,0.050413022351797857
67,5,0.050413022351797857
67,7,0.050413022351797857
67,9,0.050413022351797857
67,11,0.050413022351797857
67,13,0.050413022351797857
67,15,0.050413022351797857
68,1,0.050413022351797857
68,3,0.050413022351797857
68,5,0.050413022351797857
68,7,0.050413022351797857
68,9,0.050413022351797857
68,11,0.050413022351797857
68,13,0.050413022351797857
68,15,0.050413022351797857
69,1,0.050413022351797857
69,3,0.050413022351797857
69,5,0.050413022351797857
69,7,0.050413022351797857
69,9,0.050413022351797857
69,11,0.050413022351797857
69,13,0.050413022351797857
69,15,0.050413022351797857
70,1,0.050413022351797857
70,3,0.050413022351797857
70,5,0.050413022351797857
70,7,0.050413022351797857
70,9,0.050413022351797857
70,11,0.050413022351797857
70,13,0.050413022351797857
70,15,0.050413022351797857
71,1,0.050413022351797857
71,3,0.050413022351797857
71,5,0.050413022351797857
71,7,0.050413022351797857
71,9,0.050413022351797857
71,11,0.050413022351797857
71,13,0.050413022351797857
71,15,0.050413022351797857
72,1,0.050413022351797857
72,3,0.050413022351797857
72,5,0.050413022351797857
72,7,0.050413022351797857
72,9,0.050413022351797857
72,11,0.050413022351797857
72,13,0.050413022351797857
72,15,0.050413022351797857
73,1,0.050413022351797857
73,3,0.050413022351797857
73,5,0.050413022351797857
73,7,0.050413022351797857
73,9,0.050413022351797857
73,11,0.050413022351797857
73,13,0.050413022351797857
73,15,0.050413022351797857
74,1,0.050413022351797857
74,3,0.050413022351797857
74,5,0.050413022351797857
74,7,0.050413022351797857
74,9,0.050413022351797857
74,11,0.050413022351797857
74,13,0.050413022351797857
74,15,0.050413022351797857
75,1,0.050413022351797857
75,3,0.050413022351797857
75,5,0.050413022351797857
75,7,0.050413022351797857
75,9,0.050413022351797857
75,11,0.050413022351797857
75,13,0.050413022351797857
75,15,0.050413022351797857
76,1,0.050413022351797857
76,3,0.050413022351797857
76,5,0.050413022351797857
76,7,0.050413022351797857
76,9,0.050413022351797857
76,11,0.050413022351797857
76,13,0.050413022351797857
76,15,0.050413022351797857
77,1,0.050413022351797857
77,3,0.050413022351797857
77,5,0.050413022351797857
77,7,0.050413022351797857
77,9,0.050413022351797857
77,11,0.050413022351797857
77,13,0.050413022351797857
77,15,0.050413022351797857
78,1,0.050413022351797857
78,3,0.050413022351797857
78,5,0.050413022351797857
78,7,0.050413022351797857
78,9,0.050413022351797857
78,11,0.050413022351797857
78,13,0.050413022351797857
78,15,0.050413022351797857
79,1,0.050413022351797857
79,3,0.050413022351797857
79,5,0.050413022351797857
79,7,0.050413022351797857
79,9,0.050413022351797857
79,11,0.050413022351797857
79,13,0.050413022351797857
79,15,0.050413022351797857
80,1,0.050413022351797857
80,3,0.050413022351797857
80,5,0.050413022351797857
80,7,0.050413022351797857
80,9,0.050413022351797857
80,11,0.050413022351797857
80,13,0.050413022351797857
80,15,0.050413022351797857
81,1,0.050413022351797857
81,3,0.050413022351797857
81,5,0.050413022351797857
81,7,0.050413022351797857
81,9,0.050413022351797857
81,11,0.050413022351797857
81,13,0.050413022351797857
81,15,0.050413022351797857
